"COMPENDEX SOURCE LIST: UPDATED FEBRUARY 1, 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
20960433,20960662,-,-,Computational Visual Media,English,Renewed (保持收录),OA (DOAJ)
23641185,23641541,-,-,Data Science and Engineering,English,Renewed (保持收录),OA (DOAJ)
-,26666472,-,-,Energetic Materials Frontiers,English,New (新收录),OA (DOAJ)
-,26661233,-,-,Energy and Built Environment,English,New (新收录),OA (DOAJ)
-,26667592,-,-,Energy Geoscience,English,New (新收录),OA (DOAJ)
22237690,22237704,-,-,Friction,English,Renewed (保持收录),OA (DOAJ)
1674862X,2666223X,-,-,Journal of Electronic Science and Technology,English,New (新收录),-
16749847,25890573,-,-,Geodesy and Geodynamics,English,New (新收录),OA (DOAJ)
20965117,25900358,-,-,Global Energy Interconnection,English,Renewed (保持收录),OA (DOAJ)
20969147,26669528,-,-,Green Chemical Engineering,English,New (新收录),OA (DOAJ)
20962797,24680257,-,-,Green Energy and Environment,English,Renewed (保持收录),OA (DOAJ)
-,26672952,-,-,High-Confidence Computing,English,New (新收录),OA (DOAJ)
22143173,-,-,-,Information Processing in Agriculture,English,Renewed (保持收录),OA (DOAJ)
20952686,-,-,-,International Journal of Mining Science and Technology,English,Renewed (保持收录),OA (DOAJ)
20460430,20460449,-,-,International Journal of Transportation Science and Technology,English,New (新收录),OA (DOAJ)
22264108,22278508,-,-,Journal of Advanced Ceramics,English,Renewed (保持收录),OA (DOAJ)
10034722,-,桥梁建设,Qiaoliang Jianshe,Bridge Construction,Chinese,Renewed (保持收录),-
19963599,19968744 ,-,-,Building Simulation,English,Renewed (保持收录),-
-,25889133,-,-,Carbon Resources Conversion,English,Renewed (保持收录),-
10006613,-,化工进展,Huagong Jinzhan,Chemical Industry and Engineering Progress,Chinese,Renewed (保持收录),-
02510790,-,高等学校化学学报,Gaodeng Xuexiao Huaxue Xuebao,Chemical Journal of Chinese Universities,Chinese,Renewed (保持收录),-
1000131X,-,土木工程学报,Tumu Gongcheng Xuebao,China Civil Engineering Journal,Chinese,Renewed (保持收录),-
10006923,-,中国环境科学,Zhongguo Huanjing Kexue,China Environmental Science,Chinese,Renewed (保持收录),-
10017372,-,中国公路学报,Zhongguo Gonglu Xuebao,China Journal of Highway and Transport,Chinese,Renewed (保持收录),-
1004132X,-,中国机械工程,Zhongguo Jixie Gongcheng,China Mechanical Engineering,Chinese,Renewed (保持收录),-
08905487,21918945,-,-,China Ocean Engineering,English,Renewed (保持收录),-
10014632,-,中国铁道科学,Zhongguo Tiedao Kexue,China Railway Science,Chinese,Renewed (保持收录),-
10079289,-,中国表面工程,Zhongguo Biaomian Gongcheng,China Surface Engineering,Chinese,Renewed (保持收录),-
10009361,-,-,-,Chinese Journal of Aeronautics,English,Renewed (保持收录),-
10000720,-,分析试验室,Fenxi Shiyan Shi,Chinese Journal of Analysis Laboratory,Chinese,Renewed (保持收录),-
02533820,18722040,分析化学,Fenxi Huaxue,Chinese Journal of Analytical Chemistry,Chinese,Renewed (保持收录),-
18722067,-,-,-,Chinese Journal of Catalysis,English,Renewed (保持收录),-
10049541,-,-,-,Chinese Journal of Chemical Engineering,English,Renewed (保持收录),-
02544164,-,计算机学报,Jisuanji Xuebao,Chinese Journal of Computers,Chinese,Renewed (保持收录),-
10224653,10224653,-,-,Chinese Journal of Electronics,English,Renewed (保持收录),-
10069941,-,含能材料,Hanneng Cailiao,Chinese Journal of Energetic Materials,Chinese,Renewed (保持收录),-
20959389,-,工程科学学报,Gongcheng Kexue Xuebao,Chinese Journal of Engineering,Chinese,Renewed (保持收录),-
10077812,-,火炸药学报,Huozhayao Xuebao,Chinese Journal of Explosives and Propellants,"Chinese, English",Renewed (保持收录),-
00015733,-,地球物理学报,Diqiu Wuli Xuebao,Chinese Journal of Geophysics (Acta Geophysica Sinica),Chinese,Renewed (保持收录),-
10004548,-,岩土工程学报,Yantu Gongcheng Xuebao,Chinese Journal of Geotechnical Engineering,Chinese,Renewed (保持收录),-
02587025,-,中国激光,Zhongguo Jiguang,Chinese Journal of Lasers,Chinese,Renewed (保持收录),-
10007032,-,发光学报,Faguang Xuebao,Chinese Journal of Luminescence,Chinese,Renewed (保持收录),-
10053093,-,材料研究学报,Cailiao Yanjiu Xuebao,Chinese Journal of Materials Research,Chinese,Renewed (保持收录),-
10009345,21928258,-,-,Chinese Journal of Mechanical Engineering (English Edition),English,Renewed (保持收录),-
10040609,-,中国有色金属学报,Zhongguo Youse Jinshu Xuebao,Chinese Journal of Nonferrous Metals,Chinese,Renewed (保持收录),-
2567679,14396203,-,-,Chinese Journal of Polymer Science (English Edition),English,Renewed (保持收录),-
02587076,-,稀有金属,Xiyou Jinshu,Chinese Journal of Rare Metals,Chinese,Renewed (保持收录),-
10006915,-,岩石力学与工程学报,Yanshilixue Yu Gongcheng Xuebao,Chinese Journal of Rock Mechanics and Engineering,Chinese,Renewed (保持收录),-
02543087,-,仪器仪表学报,Yi Qi Yi Biao Xue Bao,Chinese Journal of Scientific Instrument,Chinese,Renewed (保持收录),-
04591879,-,力学学报,Lixue Xuebao,Chinese Journal of Theoretical and Applied Mechanics,Chinese,Renewed (保持收录),-
20971842,-,中国光学,Zhongguo Guangxue,Chinese Optics,Chinese,Renewed (保持收录),-
16717694,-,-,-,Chinese Optics Letters,English,Renewed (保持收录),-
16741056,20583834,-,-,Chinese Physics B,English,Renewed (保持收录),-
0023074X,20959419,科学通报（中文）,Kexue Tongbao (Chinese),Chinese Science Bulletin,Chinese,Renewed (保持收录),-
04381157,-,化工学报,Huagong Xuebao,CIESC Journal,Chinese,Renewed (保持收录),-
10011986,-,煤田地质与勘探,Meitiandizhi Yu Kantan,Coal Geology and Exploration,Chinese,Renewed (保持收录),-
10042997,-,质谱学报,Zhipu Xuebao,Journal of Chinese Mass Spectrometry Society,Chinese,Renewed (保持收录),OA (DOAJ)
22139567,22139567,-,-,Journal of Magnesium and Alloys,English,Renewed (保持收录),OA (DOAJ)
10065911,-,计算机集成制造系统,Jisuanji Jicheng Zhizao Xitong,"Computer Integrated Manufacturing Systems, CIMS",Chinese,Renewed (保持收录),-
10001239,-,计算机研究与发展,Jisuanji Yanjiu yu Fazhan,Computer Research and Development,Chinese,Renewed (保持收录),-
10010920,-,控制与决策,Kongzhi yu Juece,Control and Decision,Chinese,Renewed (保持收录),-
10008152,-,控制理论与应用,Kongzhi Lilun yu Yingyong,Control Theory and Applications,Chinese,Renewed (保持收录),-
20956983,21980942,-,-,Control Theory and Technology,English,Renewed (保持收录),-
2475742X,-,-,-,CPSS Transactions on Power Electronics and Applications,English,Renewed (保持收录),-
20960042,-,-,-,CSEE Journal of Power and Energy Systems,English,Renewed (保持收录),-
21965625,21965420,-,-,Journal of Modern Power Systems and Clean Energy,English,Renewed (保持收录),OA (DOAJ)
20963459,22149147,-,-,Defence Technology,English,Renewed (保持收录),-
10002383,-,地球科学：中国地质大学学报,Diqiu Kexue  Zhongguo Dizhi Daxue Xuebao,Earth Science  Journal of China University of Geosciences,Chinese,Renewed (保持收录),-
10052321,-,地学前缘,Dixue Qianyuan,Earth Science Frontiers,Chinese,Renewed (保持收录),-
16713664,1993503X,-,-,Earthquake Engineering and Engineering Vibration,English,Renewed (保持收录),-
1007449X,-,电机与控制学报,Dianji yu Kongzhi Xuebao,Electric Machines and Control,Chinese,Renewed (保持收录),-
10066047,-,电力自动化设备,Dianli Zidonghua Shebei,Electric Power Automation Equipment,Chinese,Renewed (保持收录),-
10004750,-,工程力学,Gongcheng Lixue,Engineering Mechanics,Chinese,Renewed (保持收录),-
02503301,-,环境科学,Huanjing Kexue,Environmental Science,Chinese,Renewed (保持收录),-
26618869,26618877,-,-,Experimental and Computational Multiphase Flow,English,Renewed (保持收录),-
10011455,-,爆炸与冲击,Baozha yu Chongji,Explosion and Shock Waves,Chinese,Renewed (保持收录),-
10035214,-,精细化工,Jingxi Huagong,Fine Chemicals,Chinese,Renewed (保持收录),-
10026630,-,食品科学,Shipin Kexue,Food Science,Chinese,Renewed (保持收录),-
10002758,-,西北工业大学学报,Xibei Gongye Daxue Xuebao,Journal of Northwestern Polytechnical University,Chinese,Renewed (保持收录),OA (DOAJ)
20950179,20950187,-,-,Frontiers of Chemical Science and Engineering,English,Renewed (保持收录),-
20952228,20952236,-,-,Frontiers of Computer Science,English,Renewed (保持收录),-
20952201,2095221X,-,-,Frontiers of Environmental Science and Engineering,English,Renewed (保持收录),-
20959184 ,20959230,-,-,Frontiers of Information Technology & Electronic Engineering,English,Renewed (保持收录),-
20952759,20952767,-,-,Frontiers of Optoelectronics,English,Renewed (保持收录),-
20952430,20952449,-,-,Frontiers of Structural and Civil Engineering,English,Renewed (保持收录),-
-,16749847,-,-,Geodesy and Geodynamics,English,Renewed (保持收录),-
16718860,-,武汉大学学报（信息科学版）,Wuhan Daxue Xuebao (Xinxi Kexue Ban),Geomatics and Information Science of Wuhan University,Chinese,Renewed (保持收录),-
10011552,20959508,大地构造与成矿学,Dadi Gouzao yu Chengkuangxue,Geotectonica et Metallogenia,Chinese,Renewed (保持收录),-
2095283X,-,雷达学报,Leida Xuebao,Journal of Radars,"Chinese, English",Renewed (保持收录),OA (DOAJ)
20967527,26664496,-,-,Journal of Safety Science and Resilience,English,New (新收录),OA (DOAJ)
10066748,-,-,-,High Technology Letters,English,Renewed (保持收录),-
10036520,-,高电压技术,Gaodianya Jishu,High Voltage Engineering,Chinese,Renewed (保持收录),-
10062467,-,上海交通大学学报,Shanghai Jiaotong Daxue Xuebao,Journal of Shanghai Jiaotong University,Chinese,Renewed (保持收录),OA (DOAJ)
10072276,-,红外与激光工程,Hongwai yu Jiguang Gongcheng,Infrared and Laser Engineering,Chinese,Renewed (保持收录),-
1756378X,17563798,-,-,International Journal of Intelligent Computing and Cybernetics,English,Renewed (保持收录),-
-,25888404,-,-,International Journal of Lightweight Materials and Manufacture,English,Renewed (保持收录),-
16744799,1869103X,-,-,"International Journal of Minerals, Metallurgy and Materials",English,Renewed (保持收录),-
-,26885255,-,-,Journal of Social Computing,English,New (新收录),OA (DOAJ)
02539993,-,煤炭学报,Meitan Xuebao,Journal of the China Coal Society,Chinese,Renewed (保持收录),OA (DOAJ)
10008055,-,航空动力学报,Hangkong Dongli Xuebao,Journal of Aerospace Power,Chinese,Renewed (保持收录),-
2096241X,25094696,-,-,Journal of Analysis and Testing,English,Renewed (保持收录),-
10001328,-,宇航学报,Yuhang Xuebao,Journal of Astronautics,Chinese,Renewed (保持收录),-
10050930,-,应用基础与工程科学学报,Yingyong Jichu yu Gongcheng Kexue Xuebao,Journal of Basic Science and Engineering,Chinese,Renewed (保持收录),-
10040579,-,-,-,Journal of Beijing Institute of Technology (English Edition),English,Renewed (保持收录),-
10015965,-,北京航空航天大学学报,Beijing Hangkong Hangtian Daxue Xuebao,Journal of Beijing University of Aeronautics and Astronautics,Chinese,Renewed (保持收录),-
10075321,-,北京邮电大学学报,Beijing Youdian Daxue Xuebao,Journal of Beijing University of Posts and Telecommunications,Chinese,Renewed (保持收录),-
10015515,-,生物医学工程学杂志,Shengwu Yixue Gongchengxue Zazhi,Journal of Biomedical Engineering,Chinese,Renewed (保持收录),-
16726529,25432141,-,-,Journal of Bionic Engineering,English,Renewed (保持收录),-
-,23699698,-,-,Journal of Bioresources and Bioproducts,English,Renewed (保持收录),-
10079629,-,建筑材料学报,Jianzhu Cailiao Xuebao,Journal of Building Materials,Chinese,Renewed (保持收录),-
10006869,-,建筑结构学报,Jianzhu Jiegou Xuebao,Journal of Building Structures,Chinese,Renewed (保持收录),-
20952899,22275223,-,-,Journal of Central South University (English Edition),English,Renewed (保持收录),-
16727207,-,中南大学学报 （自然科学版）,Zhongnan Daxue Xuebao (Ziran Kexue Ban),Journal of Central South University (Science and Technology),Chinese,Renewed (保持收录),-
10039015,-,高校化学工程学报,Gao Xiao Hua Xue Gong Cheng Xue Bao,Journal of Chemical Engineering of Chinese Universities,Chinese,Renewed (保持收录),-
10058885,22105123,-,-,Journal of China Universities of Posts and Telecommunications,English,Renewed (保持收录),-
10001964,-,中国矿业大学学报,Zhongguo Kuangye Daxue Xuebao,Journal of China University of Mining and Technology,Chinese,Renewed (保持收录),-
16735005,-,中国石油大学学报,Zhongguo Shiyou Daxue Xuebao (Ziran Kexue Ban),Journal of China University of Petroleum (Edition of Natural Science),Chinese,Renewed (保持收录),-
10056734,-,中国惯性技术学报,Zhongguo Guanxing Jishu Xuebao,Journal of Chinese Inertial Technology,Chinese,Renewed (保持收录),-
10097848,-,中国食品学报,Zhongguo Shipin Xuebao,Journal of Chinese Institute of Food Science and Technology,Chinese,Renewed (保持收录),-
20957564,25890379,-,-,Journal of Traffic and Transportation Engineering (English Edition),English,Renewed (保持收录),OA (DOAJ)
20961081,25093312,通信与信息网络学报,Tongxin yu Xinxi Wangluo Xuebao,Journal of Communications and Information Networks,"Chinese, English",Renewed (保持收录),-
10009000,18604749,-,-,Journal of Computer Science and Technology,English,Renewed (保持收录),-
10039775,-,计算机辅助设计与图形学学报,Jisuanji Fuzhu Sheji yu Tuxingxue Xuebao,Journal of ComputerAided Design and Computer Graphics,Chinese,Renewed (保持收录),-
10095896,-,电子与信息学报,Dianzi yu Xinxi Xuebao,Journal of Electronics and Information Technology,Chinese,Renewed (保持收录),-
20954956,-,-,-,Journal of Energy Chemistry,English,Renewed (保持收录),-
0253231X,-,工程热物理学报,Kung Cheng Je Wu Li Hsueh Pao,Journal of Engineering Thermophysics,Chinese,Renewed (保持收录),-
10010742,18787320,-,-,Journal of Environmental Sciences (China),English,Renewed (保持收录),-
20956002,-,食品科学技术学报,Shipin Kexue Jishu Xuebao,Journal of Food Science and Technology (China),"Chinese, English",Renewed (保持收录),-
02532409,-,燃料化学学报,Ranliao Huaxue Xuebao,Journal of Fuel Chemistry and Technology,Chinese,Renewed (保持收录),-
15608999,-,地球信息科学学报,Diqiu Xinxi Kexue Xuebao,Journal of Geo-Information Science,Chinese,Renewed (保持收录),-
10067043,-,哈尔滨工程大学学报,Harbin Gongcheng Daxue Xuebao,Journal of Harbin Engineering University,Chinese,Renewed (保持收录),-
03676234,-,哈尔滨工业大学学报,Harbin Gongye Daxue Xuebao,Journal of Harbin Institute of Technology,Chinese,Renewed (保持收录),-
16714512,-,华中科技大学学报 自然科学版,Huazhong Keji Daxue Xuebao (Ziran Kexue Ban),Journal of Huazhong University of Science and Technology (Natural Science Edition),Chinese,Renewed (保持收录),-
16742974,-,湖南大学学报,Hunan Daxue Xuebao,Journal of Hunan University Natural Sciences,Chinese,Renewed (保持收录),-
05599350,-,水利学报,Shuili Xuebao,Journal of Hydraulic Engineering,Chinese,Renewed (保持收录),-
10016058,18780342,-,-,Journal of Hydrodynamics,English,Renewed (保持收录),-
10019014,-,红外与毫米波学报,Hongwai yu Haomibo Xuebao,Journal of Infrared and Millimeter Waves,Chinese,Renewed (保持收录),-
1000324X,-,无机材料学报,Wuji Cailiao Xuebao,Journal of Inorganic Materials,Chinese,Renewed (保持收录),-
1006706X,22103988,-,-,Journal of Iron and Steel Research International,English,Renewed (保持收录),-
16715497,-,吉林大学学报（工学版）,Jilin Daxue Xuebao (Gongxueban),Journal of Jilin University (Engineering and Technology Edition),Chinese,Renewed (保持收录),-
10035427,-,湖泊科学,Hupo Kexue,Journal of Lake Sciences,Chinese,Renewed (保持收录),-
-,25892991,-,-,Materials Science for Energy Technologies,English,New (新收录),OA (DOAJ)
10014381,-,材料工程,Cailiao Gongcheng,Journal of Materials Engineering,Chinese,Renewed (保持收录),-
10050302,-,-,-,Journal of Materials Science and Technology,English,Renewed (保持收录),-
05776686,-,机械工程学报,Jixie Gongcheng Xuebao,Journal of Mechanical Engineering,Chinese,Renewed (保持收录),-
16733363,-,采矿与安全工程学报,Caikuang yu Anquan Gongcheng Xuebao,Journal of Mining and Safety Engineering,Chinese,Renewed (保持收录),-
24682047,2468080X,-,-,Matter and Radiation at Extremes,English,Renewed (保持收录),OA (DOAJ)
10012486,-,国防科技大学学报,Guofang Keji Daxue Xuebao,Journal of National University of Defense Technology,Chinese,Renewed (保持收录),-
10053026,-,东北大学学报,Dongbei Daxue Xuebao,Journal of Northeastern University,Chinese,Renewed (保持收录),-
20966482,25899651,-,-,Nano Materials Science,English,Renewed (保持收录),OA (DOAJ)
10014055,-,推进技术,Tuijin Jishu,Journal of Propulsion Technology,Chinese,Renewed (保持收录),-
16726030,25895540,纳米技术与精密工程,Nami Jishu yu Jingmi Gongcheng,Nanotechnology and Precision Engineering,Chinese,Renewed (保持收录),OA (DOAJ)
10062106,-,铁道工程学报,Tiedao Gongcheng Xuebao,Journal of Railway Engineering Society,Chinese,Renewed (保持收录),-
16727029,16727029,铁道科学与工程学报,Tiedao Kexue yu Gongcheng Xuebao,Journal of Railway Science and Engineering,Chinese,Renewed (保持收录),-
10020721,-,-,-,Journal of Rare Earths,English,Renewed (保持收录),-
10074619,20959494,遥感学报,Yaogan Xuebao,Journal of Remote Sensing,Chinese,Renewed (保持收录),-
16744926,-,-,-,Journal of Semiconductors,English,Renewed (保持收录),-
20964579,-,光电进展,Guangdian Jinzhan,Opto-Electronic Advances,"Chinese, English",Renewed (保持收录),OA (DOAJ)
10071172,19958188,-,-,Journal of Shanghai Jiaotong University (Science),English,Renewed (保持收录),-
10077294,-,船舶力学,Chuan Bo Li Xue,Journal of Ship Mechanics,Chinese,Renewed (保持收录),-
10009825,-,软件学报,Ruan Jian Xue Bao,Journal of Software,Chinese,Renewed (保持收录),-
1000565X,-,华南理工大学学报 自然科学版,Huanan Ligong Daxue Xuebao,Journal of South China University of Technology (Natural Science),Chinese,Renewed (保持收录),-
10037985,-,-,-,Journal of Southeast University (English Edition),English,Renewed (保持收录),-
10010505,-,东南大学学报 （自然科学版）,Dongnan Daxue Xuebao (Ziran Kexue Ban),Journal of Southeast University (Natural Science Edition),Chinese,Renewed (保持收录),-
02582724,-,西南交通大学学报,Xinan Jiaotong Daxue Xuebao,Journal of Southwest Jiaotong University,Chinese,Renewed (保持收录),-
16711793,-,-,-,Journal of Systems Engineering and Electronics,English,Renewed (保持收录),-
10096124,-,-,-,Journal of Systems Science and Complexity,English,Renewed (保持收录),-
10043756,18619576,-,-,Journal of Systems Science and Systems Engineering,English,Renewed (保持收录),-
02539721,-,纺织学报,Fangzhi Xuebao,Journal of Textile Research,Chinese,Renewed (保持收录),-
24056561,24055816,-,-,Petroleum,English,Renewed (保持收录),OA (DOAJ)
10018360,-,铁道学报,Tiedao Xuebao,Journal of the China Railway Society,Chinese,Renewed (保持收录),-
04545648,-,硅酸盐学报,Kuei Suan Jen Hsueh Pao,Journal of the Chinese Ceramic Society,Chinese,Renewed (保持收录),-
10004343,-,中国稀土学报,Zhongguo Xitu Xuebao,Journal of the Chinese Rare Earth Society,"Chinese, English",Renewed (保持收录),-
2194668X,21946698,-,-,Journal of the Operations Research Society of China,English,Renewed (保持收录),-
10010548,-,电子科技大学学报,Dianzi Keji Daxue Xuebao,Journal of the University of Electronic Science and Technology of China,Chinese,Renewed (保持收录),-
10032169,1993033X,-,-,Journal of Thermal Science,English,Renewed (保持收录),-
04932137,-,天津大学学报,Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban),Journal of Tianjin University Science and Technology,Chinese,Renewed (保持收录),-
0253374X,-,同济大学学报 （自然科学版）,Tongji Daxue Xuebao,Journal of Tongji University,Chinese,Renewed (保持收录),-
16711637,-,交通运输工程学报,Jiaotong Yunshu Gongcheng Xuebao,Journal of Traffic and Transportation Engineering,Chinese,Renewed (保持收录),-
20962495,25241729,-,-,Petroleum Research,English,New (新收录),OA (DOAJ)
10096744,-,交通运输系统工程与信息,Jiaotong Yunshu Xitong Gongcheng Yu Xinxi,Journal of Transportation Systems Engineering and Information Technology,Chinese,Renewed (保持收录),-
10000054,-,清华大学学报,Qinghua Daxue Xuebao,Journal of Tsinghua University (Science and Technology),Chinese,Renewed (保持收录),-
10003835,-,振动与冲击,Zhendong yu Chongji,Journal of Vibration and Shock,Chinese,Renewed (保持收录),-
10044523,-,振动工程学报,Zhendong Gongcheng Xuebao,Journal of Vibration Engineering,Chinese,Renewed (保持收录),-
10046801,-,振动测试与诊断,Zhendong Ceshi Yu Zhenduan,"Journal of Vibration, Measurement and Diagnosis",Chinese,Renewed (保持收录),-
0253987X,-,西安交通大学学报,HsiAn Chiao Tung Ta Hsueh,Journal of Xi'an Jiaotong University,Chinese,Renewed (保持收录),-
10012400,-,西安电子科技大学学报,Xi'an Dianzi Keji Daxue Xuebao,Journal of Xidian University,Chinese,Renewed (保持收录),-
1008973X,-,浙江大学学报 (工学版）,Zhejiang Daxue Xuebao (Gongxue Ban),Journal of Zhejiang University (Engineering Science),Chinese,Renewed (保持收录),-
1673565X,18621775,-,-,Journal of Zhejiang University: Science A (Applied Physics & Engineering),English,Renewed (保持收录),-
1000436X,-,通信学报,Tongxin Xuebao,Journal on Communications,Chinese,Renewed (保持收录),-
10002413,19930437,-,-,"Journal Wuhan University of Technology, Materials Science Edition",English,Renewed (保持收录),-
20955545,20477538,-,-,Light: Science & Applications,English,Renewed (保持收录),-
2731538X,27315398,-,-,Machine Intelligence Research,English,Renewed (保持收录),-
2731538X,27315398,-,-,Machine Intelligence Research,English,Renewed (保持收录),-
1005023X,-,材料导报,Cailiao Daobao,Materials Review,Chinese,Renewed (保持收录),-
16725107,19958226,-,-,Petroleum Science,English,New (新收录),OA (DOAJ)
-,26621991,-,-,PhotoniX,English,Renewed (保持收录),OA (DOAJ)
19980124 ,19980000,-,-,Nano Research,English,Renewed (保持收录),-
23116706,21505551,-,-,Nano-Micro Letters,English,Renewed (保持收录),OA (DOAJ/ROAD)
10020071,17455391,-,-,Progress in Natural Science: Materials International,English,New (新收录),OA (DOAJ)
10000976,-,天然气工业,Tianranqi Gongye,Natural Gas Industry,Chinese,Renewed (保持收录),-
10078827,-,新型碳材料,Xinxing Tan Cailiao,New Carbon Materials,Chinese,Renewed (保持收录),-
02580926,-,核动力工程,Hedongli Gongcheng,Nuclear Power Engineering,Chinese,Renewed (保持收录),-
02539985,-,石油与天然气地质,Shiyou yu Tianranqi Dizhi,Oil and Gas Geology,Chinese,Renewed (保持收录),-
10007210,-,石油地球物理勘探,Shiyou Diqiu Wuli Kantan,Oil Geophysical Prospecting,Chinese,Renewed (保持收录),-
1004924X,-,光学精密工程,Guangxue Jingmi Gongcheng,Optics and Precision Engineering,Chinese,Renewed (保持收录),-
10007598,-,岩土力学,Yantu Lixue,Rock and Soil Mechanics,Chinese,Renewed (保持收录),OA (DOAJ)
16731905,19935013,-,-,Optoelectronics Letters,English,Renewed (保持收录),-
16742001,22104291,-,-,Particuology,English,Renewed (保持收录),-
10036059,-,模式识别与人工智能,Moshi Shibie yu Rengong Zhineng,Pattern Recognition and Artificial Intelligence,Chinese,Renewed (保持收录),-
26629291,26621363,-,-,Satellite Navigation,English,New (新收录),OA (DOAJ)
10000747,-,石油勘探与开发,Shiyou Kantan yu Kaifa,Petroleum Exploration and Development,Chinese,Renewed (保持收录),-
16749251,21907439,-,-,Photonic Sensors ,English,Renewed (保持收录),-
20962754,24679674,-,-,Underground Space (China),English,New (新收录),OA (DOAJ)
